节点数量,训练准确率,测试准确率
171,0.92847,0.9233
171,0.92847,0.9233
172,0.9284,0.9233
173,0.92832,0.9233
173,0.92832,0.9233
174,0.92828,0.9236
175,0.92828,0.9238
175,0.92828,0.9238
176,0.92828,0.9237
177,0.92845,0.9239
177,0.92845,0.9239
178,0.92843,0.9239
178,0.92843,0.9239
178,0.92843,0.9239
179,0.92837,0.9237
179,0.92837,0.9237
180,0.92845,0.9236
181,0.92855,0.924
182,0.92855,0.924
183,0.92855,0.9241
184,0.92852,0.924
184,0.92852,0.924
185,0.92868,0.924
185,0.92868,0.924
185,0.92868,0.924
185,0.92868,0.924
186,0.9286,0.9239
186,0.9286,0.9239
187,0.92852,0.924
188,0.92853,0.9239
189,0.92855,0.924
189,0.92855,0.924
190,0.92862,0.9239
191,0.92865,0.9242
192,0.92863,0.9242
193,0.92867,0.924
193,0.92867,0.924
193,0.92867,0.924
193,0.92867,0.924
194,0.9286,0.924
194,0.9286,0.924
194,0.9286,0.924
194,0.9286,0.924
195,0.92863,0.924
196,0.9287,0.9243
197,0.92872,0.9243
198,0.92875,0.9244
199,0.92862,0.9248
199,0.92862,0.9248
199,0.92862,0.9248
200,0.92862,0.9248
